subsetSlug,subsetLabel,syntheticId,drawIndex,generatingModel,true_propVar_mouse,true_propVar_trackpad,true_visVarSlope,true_retention,true_lr,true_raw_propVar_mouse,true_raw_propVar_trackpad,true_raw_visVarSlope,true_raw_retention,true_raw_lr,true_raw_visVarInt,true_visVarInt,true_raw_motorVar_mouse,true_motorVar_mouse,true_raw_motorVar_trackpad,true_motorVar_trackpad,true_senseVar_mouse,true_senseVar_trackpad,true_c,true_raw_senseVar_mouse,true_raw_senseVar_trackpad,true_raw_c
joint_devices,Mouse + Trackpad joint,joint_devices_MeanTimeseriesBaseBCC_0000,0,MeanTimeseriesBaseBCC,730.9841842406452,370.4000611214077,0.5846694694277819,0.9842983770338329,0.02984812746275034,730.9841842406452,370.4000611214077,0.5846694694277819,0.9842983770338329,0.02984812746275034,1.853,1.853,81.42877507299032,81.42877507299032,43.75327994968318,43.75327994968318,,,,,,
joint_devices,Mouse + Trackpad joint,joint_devices_MeanTimeseriesBaseBCC_0001,1,MeanTimeseriesBaseBCC,966.7700622345228,655.2247586208825,0.5556560235740104,0.9547634343902317,0.14273942699240247,966.7700622345228,655.2247586208825,0.5556560235740104,0.9547634343902317,0.14273942699240247,1.853,1.853,81.42877507299032,81.42877507299032,43.75327994968318,43.75327994968318,,,,,,
joint_devices,Mouse + Trackpad joint,joint_devices_MeanTimeseriesBaseBCC_0002,2,MeanTimeseriesBaseBCC,418.00614274135984,878.4254801452115,0.4987763494954947,0.9908042421463163,0.14052991069921786,418.00614274135984,878.4254801452115,0.4987763494954947,0.9908042421463163,0.14052991069921786,1.853,1.853,81.42877507299032,81.42877507299032,43.75327994968318,43.75327994968318,,,,,,
joint_devices,Mouse + Trackpad joint,joint_devices_MeanTimeseriesBaseBCC_0003,3,MeanTimeseriesBaseBCC,342.5715964206538,454.5832695955276,0.266757203904899,0.9910568921714373,0.2001910484261812,342.5715964206538,454.5832695955276,0.266757203904899,0.9910568921714373,0.2001910484261812,1.853,1.853,81.42877507299032,81.42877507299032,43.75327994968318,43.75327994968318,,,,,,
joint_devices,Mouse + Trackpad joint,joint_devices_MeanTimeseriesBaseBCC_0004,4,MeanTimeseriesBaseBCC,715.0794655707407,319.02894330446816,0.6295095112211901,0.9944547436583469,0.24668995411853759,715.0794655707407,319.02894330446816,0.6295095112211901,0.9944547436583469,0.24668995411853759,1.853,1.853,81.42877507299032,81.42877507299032,43.75327994968318,43.75327994968318,,,,,,
joint_devices,Mouse + Trackpad joint,joint_devices_MeanTimeseriesBaseBCC_0005,5,MeanTimeseriesBaseBCC,327.43431203315254,389.1108769233767,0.2587518077781204,0.9561215310702063,0.21647608268173804,327.43431203315254,389.1108769233767,0.2587518077781204,0.9561215310702063,0.21647608268173804,1.853,1.853,81.42877507299032,81.42877507299032,43.75327994968318,43.75327994968318,,,,,,
joint_devices,Mouse + Trackpad joint,joint_devices_MeanTimeseriesBaseBCC_0006,6,MeanTimeseriesBaseBCC,701.99093790324,944.1152919522763,0.3715604447184897,0.9673372105824556,0.1488148333088705,701.99093790324,944.1152919522763,0.3715604447184897,0.9673372105824556,0.1488148333088705,1.853,1.853,81.42877507299032,81.42877507299032,43.75327994968318,43.75327994968318,,,,,,
joint_devices,Mouse + Trackpad joint,joint_devices_MeanTimeseriesBaseBCC_0007,7,MeanTimeseriesBaseBCC,325.0971284839187,214.37725886098477,0.4315122719536024,0.9598893075237819,0.21228159744762287,325.0971284839187,214.37725886098477,0.4315122719536024,0.9598893075237819,0.21228159744762287,1.853,1.853,81.42877507299032,81.42877507299032,43.75327994968318,43.75327994968318,,,,,,
joint_devices,Mouse + Trackpad joint,joint_devices_MeanTimeseriesBaseBCC_0008,8,MeanTimeseriesBaseBCC,458.2808280770874,743.6717391377052,0.5213363422641286,0.9643231357796754,0.2637646855520695,458.2808280770874,743.6717391377052,0.5213363422641286,0.9643231357796754,0.2637646855520695,1.853,1.853,81.42877507299032,81.42877507299032,43.75327994968318,43.75327994968318,,,,,,
joint_devices,Mouse + Trackpad joint,joint_devices_MeanTimeseriesBaseBCC_0009,9,MeanTimeseriesBaseBCC,762.8803537425474,338.18963943451513,0.3565615430353265,0.9835267375381641,0.04429201355135965,762.8803537425474,338.18963943451513,0.3565615430353265,0.9835267375381641,0.04429201355135965,1.853,1.853,81.42877507299032,81.42877507299032,43.75327994968318,43.75327994968318,,,,,,
joint_devices,Mouse + Trackpad joint,joint_devices_MeanTimeseriesBaseBCC_0010,10,MeanTimeseriesBaseBCC,329.8350007507898,172.57129708358505,0.5560000524640842,0.9826112704785642,0.22348532409975483,329.8350007507898,172.57129708358505,0.5560000524640842,0.9826112704785642,0.22348532409975483,1.853,1.853,81.42877507299032,81.42877507299032,43.75327994968318,43.75327994968318,,,,,,
joint_devices,Mouse + Trackpad joint,joint_devices_MeanTimeseriesBaseBCC_0011,11,MeanTimeseriesBaseBCC,737.879971501022,383.77224638217393,0.4687267798443864,0.9553696089418986,0.036298408876117426,737.879971501022,383.77224638217393,0.4687267798443864,0.9553696089418986,0.036298408876117426,1.853,1.853,81.42877507299032,81.42877507299032,43.75327994968318,43.75327994968318,,,,,,
joint_devices,Mouse + Trackpad joint,joint_devices_MeanTimeseriesBaseBCC_0012,12,MeanTimeseriesBaseBCC,631.4786764727838,392.1358501570256,0.46732474405570446,0.9878073049387244,0.20115891137589242,631.4786764727838,392.1358501570256,0.46732474405570446,0.9878073049387244,0.20115891137589242,1.853,1.853,81.42877507299032,81.42877507299032,43.75327994968318,43.75327994968318,,,,,,
joint_devices,Mouse + Trackpad joint,joint_devices_MeanTimeseriesBaseBCC_0013,13,MeanTimeseriesBaseBCC,538.5524647496053,458.31769375957765,0.3628103406882738,0.9497153823508865,0.13840752634610087,538.5524647496053,458.31769375957765,0.3628103406882738,0.9497153823508865,0.13840752634610087,1.853,1.853,81.42877507299032,81.42877507299032,43.75327994968318,43.75327994968318,,,,,,
joint_devices,Mouse + Trackpad joint,joint_devices_MeanTimeseriesBaseBCC_0014,14,MeanTimeseriesBaseBCC,336.6145273023449,351.0277435274182,0.5825915307704954,0.9602540560244709,0.018478578755958666,336.6145273023449,351.0277435274182,0.5825915307704954,0.9602540560244709,0.018478578755958666,1.853,1.853,81.42877507299032,81.42877507299032,43.75327994968318,43.75327994968318,,,,,,
joint_devices,Mouse + Trackpad joint,joint_devices_MeanTimeseriesBaseBCC_0015,15,MeanTimeseriesBaseBCC,369.27507265694766,286.4125600738264,0.505996907353987,0.9770172526436868,0.24843770255965186,369.27507265694766,286.4125600738264,0.505996907353987,0.9770172526436868,0.24843770255965186,1.853,1.853,81.42877507299032,81.42877507299032,43.75327994968318,43.75327994968318,,,,,,
joint_devices,Mouse + Trackpad joint,joint_devices_MeanTimeseriesBaseBCC_0016,16,MeanTimeseriesBaseBCC,627.9088626912356,349.69955054468994,0.5668384553296428,0.9567795924152972,0.007199016900819312,627.9088626912356,349.69955054468994,0.5668384553296428,0.9567795924152972,0.007199016900819312,1.853,1.853,81.42877507299032,81.42877507299032,43.75327994968318,43.75327994968318,,,,,,
joint_devices,Mouse + Trackpad joint,joint_devices_MeanTimeseriesBaseBCC_0017,17,MeanTimeseriesBaseBCC,283.23976341053526,611.7587676142333,0.42598119356378383,0.9564837969505816,0.15879446363518,283.23976341053526,611.7587676142333,0.42598119356378383,0.9564837969505816,0.15879446363518,1.853,1.853,81.42877507299032,81.42877507299032,43.75327994968318,43.75327994968318,,,,,,
joint_devices,Mouse + Trackpad joint,joint_devices_MeanTimeseriesBaseBCC_0018,18,MeanTimeseriesBaseBCC,308.7742190039511,584.2036725447655,0.4196928116928412,0.9678851798054086,0.09555762755647618,308.7742190039511,584.2036725447655,0.4196928116928412,0.9678851798054086,0.09555762755647618,1.853,1.853,81.42877507299032,81.42877507299032,43.75327994968318,43.75327994968318,,,,,,
