selectedModel,parameterization,negLogLik,rmse,elapsedSeconds,nRows,nParams,AIC,BIC,recovered_propVar_mouse,recovered_propVar_trackpad,recovered_visVarSlope,recovered_retention,recovered_lr,recovered_raw_propVar_mouse,recovered_raw_propVar_trackpad,recovered_raw_visVarSlope,recovered_raw_retention,recovered_raw_lr,recovered_raw_visVarInt,recovered_visVarInt,recovered_raw_motorVar_mouse,recovered_motorVar_mouse,recovered_raw_motorVar_trackpad,recovered_motorVar_trackpad,subsetSlug,subsetLabel,syntheticId,drawIndex,generatingModel,true_propVar_mouse,true_propVar_trackpad,true_visVarSlope,true_retention,true_lr,true_raw_propVar_mouse,true_raw_propVar_trackpad,true_raw_visVarSlope,true_raw_retention,true_raw_lr,true_raw_visVarInt,true_visVarInt,true_raw_motorVar_mouse,true_motorVar_mouse,true_raw_motorVar_trackpad,true_motorVar_trackpad,fitSeed,recovered_senseVar_mouse,recovered_senseVar_trackpad,recovered_c,recovered_raw_senseVar_mouse,recovered_raw_senseVar_trackpad,recovered_raw_c,true_senseVar_mouse,true_senseVar_trackpad,true_c,true_raw_senseVar_mouse,true_raw_senseVar_trackpad,true_raw_c
MeanTimeseriesBaseBCC,joint_device_fixed_motorVar,66109.72908928848,7.084341446041,286.427983600006,20800,5,132229.45817857696,132269.1717199054,202.94263031108443,115.64627274887583,0.4662088998077851,0.9870156093542578,0.026321048651808177,202.94263031108443,115.64627274887583,0.4662088998077851,0.9870156093542578,0.026321048651808177,1.853,1.853,81.42877507299032,81.42877507299032,43.75327994968318,43.75327994968318,joint_devices,Mouse + Trackpad joint,joint_devices_MeanTimeseriesBaseBCC_0000,0,MeanTimeseriesBaseBCC,730.9841842406452,370.4000611214077,0.5846694694277819,0.9842983770338329,0.02984812746275034,730.9841842406452,370.4000611214077,0.5846694694277819,0.9842983770338329,0.02984812746275034,1.853,1.853,81.42877507299032,81.42877507299032,43.75327994968318,43.75327994968318,2007626659,,,,,,,,,,,,
MeanTimeseriesBaseBCC,joint_device_fixed_motorVar,66093.31557343614,7.108018675097711,181.72670699999435,20800,5,132196.63114687227,132236.3446882007,727.6106551243356,414.8175361269343,0.5339869103536335,0.9569102569830232,0.1397786931672972,727.6106551243356,414.8175361269343,0.5339869103536335,0.9569102569830232,0.1397786931672972,1.853,1.853,81.42877507299032,81.42877507299032,43.75327994968318,43.75327994968318,joint_devices,Mouse + Trackpad joint,joint_devices_MeanTimeseriesBaseBCC_0001,1,MeanTimeseriesBaseBCC,966.7700622345228,655.2247586208825,0.5556560235740104,0.9547634343902317,0.14273942699240247,966.7700622345228,655.2247586208825,0.5556560235740104,0.9547634343902317,0.14273942699240247,1.853,1.853,81.42877507299032,81.42877507299032,43.75327994968318,43.75327994968318,2108964480,,,,,,,,,,,,
MeanTimeseriesBaseBCC,joint_device_fixed_motorVar,65964.50281901941,7.032134229334403,180.62076499999966,20800,5,131939.00563803883,131978.71917936727,445.1606587630968,1000.0,0.5076277689328453,0.9901913600241538,0.14368951373517366,445.1606587630968,1000.0,0.5076277689328453,0.9901913600241538,0.14368951373517366,1.853,1.853,81.42877507299032,81.42877507299032,43.75327994968318,43.75327994968318,joint_devices,Mouse + Trackpad joint,joint_devices_MeanTimeseriesBaseBCC_0002,2,MeanTimeseriesBaseBCC,418.00614274135984,878.4254801452115,0.4987763494954947,0.9908042421463163,0.14052991069921786,418.00614274135984,878.4254801452115,0.4987763494954947,0.9908042421463163,0.14052991069921786,1.853,1.853,81.42877507299032,81.42877507299032,43.75327994968318,43.75327994968318,953423193,,,,,,,,,,,,
MeanTimeseriesBaseBCC,joint_device_fixed_motorVar,66143.90908620937,7.119642188443511,198.05819159999373,20800,5,132297.81817241875,132337.5317137472,349.2297093264823,467.4291456155898,0.26873590867285724,0.9908126738291968,0.20239881368969082,349.2297093264823,467.4291456155898,0.26873590867285724,0.9908126738291968,0.20239881368969082,1.853,1.853,81.42877507299032,81.42877507299032,43.75327994968318,43.75327994968318,joint_devices,Mouse + Trackpad joint,joint_devices_MeanTimeseriesBaseBCC_0003,3,MeanTimeseriesBaseBCC,342.5715964206538,454.5832695955276,0.266757203904899,0.9910568921714373,0.2001910484261812,342.5715964206538,454.5832695955276,0.266757203904899,0.9910568921714373,0.2001910484261812,1.853,1.853,81.42877507299032,81.42877507299032,43.75327994968318,43.75327994968318,350796779,,,,,,,,,,,,
MeanTimeseriesBaseBCC,joint_device_fixed_motorVar,66087.65868366076,7.132197477441292,170.77627760000178,20800,5,132185.31736732152,132225.03090864996,733.7600787628794,325.6022593938386,0.6352821441015126,0.9943021458141904,0.2478945490985558,733.7600787628794,325.6022593938386,0.6352821441015126,0.9943021458141904,0.2478945490985558,1.853,1.853,81.42877507299032,81.42877507299032,43.75327994968318,43.75327994968318,joint_devices,Mouse + Trackpad joint,joint_devices_MeanTimeseriesBaseBCC_0004,4,MeanTimeseriesBaseBCC,715.0794655707407,319.02894330446816,0.6295095112211901,0.9944547436583469,0.24668995411853759,715.0794655707407,319.02894330446816,0.6295095112211901,0.9944547436583469,0.24668995411853759,1.853,1.853,81.42877507299032,81.42877507299032,43.75327994968318,43.75327994968318,206761109,,,,,,,,,,,,
MeanTimeseriesBaseBCC,joint_device_fixed_motorVar,66101.09550819495,7.116677816176163,196.41188330001023,20800,5,132212.1910163899,132251.90455771834,323.58654964195824,383.84853353220694,0.25744484520337246,0.9568743452677249,0.21289792938427793,323.58654964195824,383.84853353220694,0.25744484520337246,0.9568743452677249,0.21289792938427793,1.853,1.853,81.42877507299032,81.42877507299032,43.75327994968318,43.75327994968318,joint_devices,Mouse + Trackpad joint,joint_devices_MeanTimeseriesBaseBCC_0005,5,MeanTimeseriesBaseBCC,327.43431203315254,389.1108769233767,0.2587518077781204,0.9561215310702063,0.21647608268173804,327.43431203315254,389.1108769233767,0.2587518077781204,0.9561215310702063,0.21647608268173804,1.853,1.853,81.42877507299032,81.42877507299032,43.75327994968318,43.75327994968318,524141581,,,,,,,,,,,,
MeanTimeseriesBaseBCC,joint_device_fixed_motorVar,66126.25580010039,7.121618153644642,252.66751230000227,20800,5,132262.51160020079,132302.22514152923,726.663669086017,1000.0,0.3735949626288116,0.9676031363847902,0.14765158393705205,726.663669086017,1000.0,0.3735949626288116,0.9676031363847902,0.14765158393705205,1.853,1.853,81.42877507299032,81.42877507299032,43.75327994968318,43.75327994968318,joint_devices,Mouse + Trackpad joint,joint_devices_MeanTimeseriesBaseBCC_0006,6,MeanTimeseriesBaseBCC,701.99093790324,944.1152919522763,0.3715604447184897,0.9673372105824556,0.1488148333088705,701.99093790324,944.1152919522763,0.3715604447184897,0.9673372105824556,0.1488148333088705,1.853,1.853,81.42877507299032,81.42877507299032,43.75327994968318,43.75327994968318,2028572983,,,,,,,,,,,,
MeanTimeseriesBaseBCC,joint_device_fixed_motorVar,65954.56697536245,7.037791359850487,148.91561660000298,20800,5,131919.1339507249,131958.84749205335,293.2706019667366,196.39889712577525,0.415974876831361,0.9614111003995547,0.20461170470951448,293.2706019667366,196.39889712577525,0.415974876831361,0.9614111003995547,0.20461170470951448,1.853,1.853,81.42877507299032,81.42877507299032,43.75327994968318,43.75327994968318,joint_devices,Mouse + Trackpad joint,joint_devices_MeanTimeseriesBaseBCC_0007,7,MeanTimeseriesBaseBCC,325.0971284839187,214.37725886098477,0.4315122719536024,0.9598893075237819,0.21228159744762287,325.0971284839187,214.37725886098477,0.4315122719536024,0.9598893075237819,0.21228159744762287,1.853,1.853,81.42877507299032,81.42877507299032,43.75327994968318,43.75327994968318,1770043973,,,,,,,,,,,,
MeanTimeseriesBaseBCC,joint_device_fixed_motorVar,66033.80745322743,7.06715815245323,181.4104612999945,20800,5,132077.61490645487,132117.3284477833,446.0674901377537,701.9810043332502,0.5156886889713751,0.9658492239455224,0.2551121218888364,446.0674901377537,701.9810043332502,0.5156886889713751,0.9658492239455224,0.2551121218888364,1.853,1.853,81.42877507299032,81.42877507299032,43.75327994968318,43.75327994968318,joint_devices,Mouse + Trackpad joint,joint_devices_MeanTimeseriesBaseBCC_0008,8,MeanTimeseriesBaseBCC,458.2808280770874,743.6717391377052,0.5213363422641286,0.9643231357796754,0.2637646855520695,458.2808280770874,743.6717391377052,0.5213363422641286,0.9643231357796754,0.2637646855520695,1.853,1.853,81.42877507299032,81.42877507299032,43.75327994968318,43.75327994968318,454390482,,,,,,,,,,,,
MeanTimeseriesBaseBCC,joint_device_fixed_motorVar,65897.44737162918,7.0758361286399145,185.76349680000567,20800,5,131804.89474325837,131844.6082845868,802.9594669191205,345.97548912162716,0.3573769615293748,0.9829979355629541,0.04503662787397518,802.9594669191205,345.97548912162716,0.3573769615293748,0.9829979355629541,0.04503662787397518,1.853,1.853,81.42877507299032,81.42877507299032,43.75327994968318,43.75327994968318,joint_devices,Mouse + Trackpad joint,joint_devices_MeanTimeseriesBaseBCC_0009,9,MeanTimeseriesBaseBCC,762.8803537425474,338.18963943451513,0.3565615430353265,0.9835267375381641,0.04429201355135965,762.8803537425474,338.18963943451513,0.3565615430353265,0.9835267375381641,0.04429201355135965,1.853,1.853,81.42877507299032,81.42877507299032,43.75327994968318,43.75327994968318,1269479900,,,,,,,,,,,,
